               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01993,            0.010679,                   0,             0.98855,             0.99581,             0.98788,              0.7273,            0.020215,           0.0083514,                   0,            0.070229,           0.0033079,           0.0033079
                   1,            0.023256,              0.0105,                   0,             0.98918,             0.99671,             0.98773,             0.72288,            0.021735,           0.0083402,                   0,            0.040109,           0.0065217,           0.0065217
                   2,            0.023043,            0.010786,                   0,             0.98692,             0.99588,             0.98864,              0.6553,             0.02451,           0.0096042,                   0,           0.0098699,           0.0096155,           0.0096155
                   3,            0.024159,            0.011162,                   0,             0.98855,              0.9958,             0.98856,             0.64226,            0.023312,           0.0092044,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.022661,            0.011155,                   0,             0.98691,             0.99671,             0.98865,              0.7018,            0.020302,           0.0091486,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.023103,            0.010833,                   0,             0.98662,             0.99094,             0.98878,             0.69468,            0.022017,           0.0095148,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.023113,            0.011081,                   0,             0.98909,             0.99012,             0.98821,             0.69355,            0.021807,            0.008797,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.021247,            0.010867,                   0,             0.98692,             0.99412,             0.98908,             0.69533,             0.02084,           0.0091442,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.023013,            0.010568,                   0,             0.98926,             0.99094,             0.98818,             0.73227,            0.020331,           0.0084708,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.021017,             0.01049,                   0,             0.98844,             0.99423,             0.98773,             0.73687,            0.021189,           0.0087599,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.022246,            0.010483,                   0,             0.98694,             0.99599,             0.98833,             0.70328,            0.018921,           0.0087066,                   0,             0.00838,             0.00838,             0.00838
                  11,             0.02029,            0.010638,                   0,             0.98911,             0.99506,             0.98843,             0.72018,            0.019362,           0.0089019,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.020117,            0.010155,                   0,             0.98589,             0.99588,             0.98785,             0.72651,            0.018427,           0.0087288,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.019755,            0.010358,                   0,             0.98774,             0.99527,             0.98817,             0.72116,            0.018569,           0.0084356,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.020038,            0.010268,                   0,             0.98921,             0.99671,             0.98844,             0.73179,            0.018918,           0.0084939,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.020078,            0.010056,                   0,             0.98845,             0.99671,             0.98937,             0.72714,            0.019134,           0.0086452,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.019098,            0.010004,                   0,             0.98938,              0.9974,             0.98851,             0.72219,            0.019129,           0.0084271,                   0,              0.0073,              0.0073,              0.0073
                  17,            0.021878,            0.010514,                   0,             0.98854,              0.9947,             0.98867,             0.74935,            0.017781,           0.0080532,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.018636,           0.0099271,                   0,             0.98793,             0.99506,             0.98814,             0.73566,            0.017829,           0.0082904,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.018511,           0.0099615,                   0,             0.98921,             0.99341,             0.98749,             0.73245,            0.019241,           0.0085363,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.019279,            0.010012,                   0,             0.98774,             0.99583,             0.98834,              0.7404,            0.017925,           0.0080008,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.017585,           0.0098899,                   0,             0.98758,             0.99671,             0.98844,             0.73501,            0.017171,           0.0084409,                   0,              0.0064,              0.0064,              0.0064
                  22,            0.019283,           0.0097627,                   0,             0.98931,             0.99072,             0.98784,             0.73787,            0.018186,           0.0083022,                   0,             0.00622,             0.00622,             0.00622
                  23,            0.016942,           0.0095278,                   0,             0.98533,             0.99559,             0.98881,             0.75183,            0.017387,           0.0081678,                   0,             0.00604,             0.00604,             0.00604
                  24,            0.018409,           0.0096888,                   0,             0.98842,             0.99753,             0.98788,             0.73765,            0.017882,           0.0081285,                   0,             0.00586,             0.00586,             0.00586
                  25,            0.016717,           0.0098122,                   0,             0.98774,             0.99532,             0.98814,             0.73095,            0.018987,           0.0085094,                   0,             0.00568,             0.00568,             0.00568
                  26,            0.017137,           0.0095544,                   0,             0.98772,             0.99377,             0.98793,             0.74185,             0.01824,           0.0082865,                   0,              0.0055,              0.0055,              0.0055
                  27,            0.016911,           0.0097463,                   0,             0.98532,             0.99534,             0.98805,             0.76127,            0.017115,           0.0079327,                   0,             0.00532,             0.00532,             0.00532
                  28,            0.016842,           0.0095999,                   0,             0.98912,             0.99671,             0.98807,             0.75558,            0.017913,           0.0082272,                   0,             0.00514,             0.00514,             0.00514
