               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  29,            0.017273,           0.0094925,                   0,             0.98816,             0.99671,             0.98821,             0.76349,            0.016604,           0.0080158,                   0,             0.00496,             0.00496,             0.00496
                  30,            0.016523,           0.0094463,                   0,             0.98846,             0.99588,              0.9885,             0.74195,            0.017669,           0.0080172,                   0,             0.00478,             0.00478,             0.00478
                  31,              0.0181,           0.0099648,                   0,             0.98773,             0.99441,             0.98813,             0.76659,            0.016984,           0.0079218,                   0,              0.0046,              0.0046,              0.0046
                  32,            0.016688,           0.0094057,                   0,             0.98855,             0.99583,             0.98831,             0.73687,            0.017352,           0.0080706,                   0,             0.00442,             0.00442,             0.00442
                  33,            0.016247,           0.0094728,                   0,             0.98742,             0.99588,             0.98747,              0.7335,            0.018016,           0.0081639,                   0,             0.00424,             0.00424,             0.00424
                  34,             0.01746,            0.009552,                   0,             0.98855,             0.99561,             0.98791,             0.72027,            0.017615,           0.0083033,                   0,             0.00406,             0.00406,             0.00406
                  35,            0.017293,           0.0097471,                   0,             0.98856,             0.99642,              0.9876,             0.74702,            0.017799,           0.0080558,                   0,             0.00388,             0.00388,             0.00388
                  36,            0.017711,           0.0095873,                   0,             0.98938,             0.99733,             0.98821,             0.74708,            0.017559,           0.0079062,                   0,              0.0037,              0.0037,              0.0037
                  37,            0.015074,           0.0094315,                   0,             0.98938,             0.99743,             0.98821,             0.75219,            0.016871,           0.0080708,                   0,             0.00352,             0.00352,             0.00352
                  38,             0.01748,           0.0093229,                   0,             0.98916,             0.99671,             0.98793,             0.73284,            0.017471,           0.0082672,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.015048,           0.0091196,                   0,             0.98856,             0.99665,             0.98842,             0.75172,            0.016207,           0.0080454,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.015701,           0.0093317,                   0,             0.98846,             0.99671,             0.98791,             0.74351,             0.01643,            0.007941,                   0,             0.00298,             0.00298,             0.00298
                  41,             0.01471,           0.0094049,                   0,              0.9888,             0.99671,             0.98876,             0.73833,            0.017157,            0.008203,                   0,              0.0028,              0.0028,              0.0028
                  42,            0.015276,           0.0091814,                   0,             0.98938,             0.99738,             0.98811,             0.73369,             0.01713,           0.0083982,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.015158,           0.0093706,                   0,             0.98846,             0.99671,             0.98758,             0.74914,            0.016486,           0.0079309,                   0,             0.00244,             0.00244,             0.00244
                  44,             0.01525,           0.0092052,                   0,             0.98909,             0.99671,             0.98878,             0.74207,            0.017372,            0.008206,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.015537,           0.0090801,                   0,              0.9891,             0.99671,             0.98824,             0.74953,            0.017238,           0.0079258,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.014864,           0.0090859,                   0,              0.9884,             0.99671,             0.98829,             0.74019,             0.01706,           0.0080313,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.015793,           0.0096325,                   0,             0.98857,             0.99747,             0.98748,             0.74792,            0.017122,           0.0079895,                   0,             0.00172,             0.00172,             0.00172
                  48,            0.014686,           0.0090695,                   0,             0.98856,             0.99666,             0.98821,             0.74432,            0.017372,           0.0080089,                   0,             0.00154,             0.00154,             0.00154
                  49,            0.014716,           0.0091222,                   0,             0.98851,             0.99671,             0.98806,              0.7462,            0.017397,           0.0078835,                   0,             0.00136,             0.00136,             0.00136
                  50,            0.015029,           0.0092208,                   0,             0.98839,             0.99671,             0.98744,             0.74122,            0.017791,           0.0080412,                   0,             0.00118,             0.00118,             0.00118
                  51,            0.015203,            0.009358,                   0,             0.98842,             0.99671,             0.98754,             0.73883,            0.017899,           0.0079696,                   0,               0.001,               0.001,               0.001
                  52,            0.013449,           0.0090695,                   0,             0.98929,             0.99671,             0.98761,             0.74443,            0.017406,            0.008002,                   0,             0.00082,             0.00082,             0.00082
                  53,            0.015068,            0.009017,                   0,             0.98926,             0.99671,             0.98818,             0.75469,            0.017439,           0.0078517,                   0,             0.00064,             0.00064,             0.00064
                  54,            0.013687,           0.0088358,                   0,             0.98937,             0.99664,              0.9881,              0.7484,            0.017509,           0.0079184,                   0,             0.00046,             0.00046,             0.00046
