               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.018668,            0.010804,                   0,             0.99708,             0.99692,             0.99433,             0.75065,            0.013271,           0.0089792,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019044,            0.010396,                   0,             0.99708,             0.99693,             0.99439,             0.76527,            0.012122,           0.0088566,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017376,            0.010159,                   0,             0.99413,             0.99415,             0.99426,             0.76772,            0.012044,           0.0088301,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016661,            0.010591,                   0,             0.99675,             0.99708,             0.99436,             0.76332,            0.012005,           0.0088234,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018392,            0.010726,                   0,             0.99677,             0.99708,             0.99444,             0.74447,            0.012637,           0.0089568,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017431,            0.010454,                   0,             0.99678,             0.99708,             0.99427,             0.75775,            0.012384,           0.0088084,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01815,            0.010632,                   0,             0.99679,             0.99708,             0.99421,             0.75865,            0.012389,           0.0086771,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01795,            0.010472,                   0,             0.99678,             0.99708,             0.99412,             0.75609,            0.012203,           0.0086873,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017498,            0.010394,                   0,             0.99674,             0.99708,             0.99421,             0.76132,             0.01216,           0.0086585,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01658,            0.010044,                   0,             0.99673,             0.99708,             0.99415,             0.76757,            0.011637,           0.0085286,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014713,            0.010044,                   0,             0.99675,             0.99708,             0.99409,             0.76163,            0.011852,           0.0084343,                   0,            0.000496,            0.000496,            0.000496
